#Platz; Name;Geboren;Land;Verband;Position;100. Spiel;Gegner;Spiele(FIFA);Spiele(RSSSF);Von;Bis
235;Amer Sabbah;1982;Jordanien;AFC;Tor;06.09.2013;Usbekistan;103;103;2002;2014
235;Hwang Sun-hong;1968;Südkorea;AFC;Sturm;18.06.2002;Italien (WM-Achtelfinale);102;103;1988;2002
235;Indrek Zelinski;1974;Estland;UEFA;Sturm;31.03.2004;Nordirland;103;103;1994;2010
250;Marvin Andrews;1975;Trinidad und Tobago;CONCACAF;Abwehr;10.06.2009;Mexiko;-1;102;1996;2009
250;László Bölöni;1953;Rumänien;UEFA;Mittelfeld;03.02.1988;Israel;101;102;1975;1988
250;Kenny Dalglish;1951;Schottland;UEFA;Sturm;26.03.1986;Rumänien;102;102;1971;1986
250;Martin Jørgensen;1975;Dänemark;UEFA;Mittelfeld;17.11.2010;Tschechien;102;102;1998;2011
250;Kasey Keller;1969;USA;CONCACAF;Torwart;21.06.2007;Kanada (CONCACAF Cup);101;102;1990;2007
250;Bülent Korkmaz;1968;Türkei;UEFA;Abwehr;18.08.2004;Belarus;102;102;1990;2005
250;Dirk Kuijt;1980;Niederlande;UEFA;Mittelfeld/Abwehr;29.06.2014;Mexiko;102;102;2004;2014
250;Savo Milošević;1973;Serbien und Montenegro;UEFA;Sturm;16.06.2006;Argentinien (WM Gruppenspiel);102;102;1994;2008
250;Mohammed Omar;1976;Vereinigte Arab. Emirate;AFC;unbekannt;11.01.2009;Saudi Arabien;102;102;1996;2009
250;Raúl;1977;Spanien;UEFA;Sturm;15.08.2006;Island;102;102;1996;2009
250;Josip Šimunić;1978;Kroatien;UEFA;Abwehr;06.02.2013;Südkorea;100;102;2001;2013
250;Dejan Stanković;1978;Serbien und Montenegro;UEFA;Mittelfeld;06.09.2011;Färöer;101;102;1998;2011
250;Steve Staunton;1969;Irland;UEFA;Abwehr;05.06.2002;Deutschland (WM-Gruppenspiel);102;102;1988;2002
250;Elijah Tana;1975;Sambia;CAF;Abwehr;04.01.2009;Burundi;101;102;1995;2009
250;Mario Yepes;1976;Kolumbien;CONMEBOL;Abwehr;19.06.2014;Elfenbeinküste;102;102;1999;2014
250;Michał Żewłakow;1976;Polen;UEFA;Abwehr;10.10.2010;USA;102;102;1999;2011
266;Fandi Ahmad;1962;Singapur;AFC;Mittelfeld;16.10.1997;Indonesien;-1;101;1985;1997
266;Husain Ahmed;1981;Bahrain;AFC;Angriff;15.11.2013;Malaysia;101;101;1998;2013
266;Leonel Álvarez;1965;Kolumbien;CONMEBOL;Mittelfeld;24.08.1997;Peru;101;101;1985;1997
266;Oleh Blochin;1952;UdSSR;UEFA;Sturm;28.10.1987;Island;101;101;1972;1988
266;Petr Čech;1979;Tschechien;UEFA;Torwart;26.03.2013;Armenien;100;101;2002;2013
266;Phillip Cocu;1970;Niederlande;UEFA;Mittelfeld;21.06.2006;Argentinien (WM Gruppenspiel);101;101;1996;2006
266;Ulises de la Cruz;1974;Ecuador;CONMEBOL;Abwehr;08.05.2010;Mexiko;101;101;1995;2010
266;Thomas Häßler;1966;Deutschland;UEFA;Mittelfeld;12.06.2000;Rumänien (EM-Gruppenspiel);101;101;1988;2000
266;Sergei Ignaschewitsch;1979;Russland;UEFA;Mittelfeld;22.06.2014;Belgien;101;101;2002;2014
266;Alexandr Kulchiy;1973;Belarus;UEFA;Mittelfeld;07.06.2012;Litauen;100;101;1996;2012
266;Aljaksandr Kultschyj;1973;Belarus;UEFA;Mittelfeld;07.06.2012;Litauen;101;101;1996;2012
266;Carlos Pavón;1973;Honduras;CONCACAF;Sturm;16.06.2010;Chile;100;101;1993;2010
266;Jorge Soto;1971;Peru;CONMEBOL;Mittelfeld;09.10.2005;Argentinien;100;101;1992;2005
266;Earnie Stewart;1969;USA;CONCACAF;Mittelfeld;20.06.2004;Grenada;100;101;1990;2004
266;Thomas Sørensen;1976;Dänemark;UEFA;Torwart;29.02.2012;Russland;101;101;1997;2012
266;Cláudio Taffarel;1966;Brasilien;CONMEBOL;Torwart;07.07.1998;Niederlande(WM-Halbfinale);101;101;1988;1998
266;Harold Wallace;1975;Costa Rica;CONCACAF;Abwehr/Mittelfeld;23.07.2009;Mexiko (CONCACAF Cup);-1;101;1995;2009
266;Joseph Yobo;1980;Nigeria;CAF;Mittelfeld/Abwehr;25.06.2014;Argentinien;100;101;2001;2014
284;Roberto Acuña;1972;Paraguay;CONMEBOL;Mittelfeld;11.06.2011;Rumänien;-1;100;1993;2011
284;Angelos Basinas;1976;Griechenland;UEFA;Mittelfeld;01.04.2009;Israel;100;100;1999;2009
284;Henning Berg;1969;Norwegen;UEFA;Mittelfeld;27.05.2004;Wales;100;100;1992;2004
284;Baichung Bhutia;1976;Indien;AFC;Sturm;2011;unbekannt;-1;100;1995;2011
284;Denis Caniza;1974;Paraguay;CONMEBOL;Abwehr;12.08.2010;Costa Rica;100;100;1996;2010
284;Luis Capurro;1964;Ecuador;CONMEBOL;Mittelfeld;09.02.2003;Estland;100;100;1985;2003
284;Lee Dong-gook;1979;Südkorea;AFC;Angriff;18.06.2013 (?);Iran (?);-1;100;1998;2013
284;Damien Duff;1979;Irland;UEFA;Mittelfeld;18.06.2012;Italien (EM-Gruppenspiel);-1;100;1998;2012
284;Andrés Iniesta;1984;Spanien;UEFA;Mittelfeld;23.06.2014;Australien;100;100;2006;2014
284;Park Ji-sung;1981;Südkorea;AFC;Sturm;25.01.2011;Japan;100;100;2000;2011
284;Ulf Kirsten;1965;Deutschland;UEFA;Sturm;20.06.2000;Portugal (EM-Gruppenspiel);100;100;1985;2000
284;Lewan Kobiaschwili;1977;Georgien;UEFA;Mittelfeld;11.10.2011;Griechenland;100;100;1998;2011
284;Tony Meola;1969;USA;CONCACAF;Torwart;11.04.2006;Jamaika;100;100;1988;2006
284;Joe-Max Moore;1971;USA;CONCACAF;Sturm;14.06.2002;Polen (WM-Gruppenspiel);100;100;1992;2002
284;Nazri Nasir;1971;Singapur;AFC;Sturm;12.07.2004;Malaysia;100;100;1990;2004
284;Carles Puyol;1978;Spanien;UEFA;Abwehr;06.02.2013;Uruguay;100;100;2000;2013
284;Goce Sedloski;1974;Mazedonien;UEFA;Abwehr;29.05.2010;Aserbaidschan;-1;100;1996;2010
284;Dario Šimić;1975;Kroatien;UEFA;Abwehr;20.08.2008;Slowenien;100;100;1996;2008
284;Igors Stepanovs;1976;Lettland;UEFA;Abwehr;10.08.2011;Finnland;100;100;1995;2011
284;Justo Villar;1977;Paraguay;CONMEBOL;Torwart;07.06.2013;Chile;-1;100;1999;2013
